net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Enexis B.V.,ENEXIS,Sasdijk,4251AA,4251AA,WERKENDAM,42,100.0,100,50.0,3x25,5459.71,28.82,11.9
Enexis B.V.,ENEXIS,Sasdijk,4251AB,4251AB,WERKENDAM,17,100.0,100,41.18,1x25,4614.24,34.24,41.18
Enexis B.V.,ENEXIS,Sasdijk,4251AC,4251AC,WERKENDAM,11,81.82,100,63.64,1x25,2520.73,34.31,36.36
Enexis B.V.,ENEXIS,Sasdijk,4251AD,4251AD,WERKENDAM,28,100.0,100,39.29,3x25,4275.46,38.34,28.57
Enexis B.V.,ENEXIS,Heuveltje,4251AE,4251AG,WERKENDAM,21,90.48,100,42.86,1x25,4620.24,60.18,33.33
Enexis B.V.,ENEXIS,Koppenhof,4251AH,4251AH,WERKENDAM,13,100.0,100,38.46,1x25,3037.38,40.24,38.46
Enexis B.V.,ENEXIS,Plein,4251AJ,4251AJ,WERKENDAM,26,100.0,100,38.46,1x25,5317.81,32.82,23.08
Enexis B.V.,ENEXIS,Zevenhuizen,4251AK,4251AL,WERKENDAM,11,100.0,100,54.55,3x25,2473.82,44.87,18.18
Enexis B.V.,ENEXIS,Krommesteeg,4251AM,4251AN,WERKENDAM,14,100.0,100,50.0,1x25,2962.21,25.46,21.43
Enexis B.V.,ENEXIS,Van Brakelsteeg,4251AP,4251AR,WERKENDAM,12,100.0,100,50.0,1x25,2035.58,30.54,16.67
Enexis B.V.,ENEXIS,Zagerij,4251AT,4251AT,WERKENDAM,21,100.0,100,66.67,1x25,2688.19,43.0,14.29
Enexis B.V.,ENEXIS,Sluisstraat,4251AV,4251AV,WERKENDAM,23,95.65,100,56.52,1x25,2644.48,39.74,56.52
Enexis B.V.,ENEXIS,Oudsas,4251AW,4251AW,WERKENDAM,10,80.0,100,60.0,3x25,11970.5,36.67,40.0
Enexis B.V.,ENEXIS,Alberssteeg,4251AX,4251BB,WERKENDAM,25,96.0,100,40.0,1x25,2892.2,34.8,40.0
Enexis B.V.,ENEXIS,Havenstraat,4251BC,4251BC,WERKENDAM,19,100.0,100,52.63,1x25,4540.95,27.31,57.89
Enexis B.V.,ENEXIS,Havenstraat,4251BD,4251BD,WERKENDAM,26,100.0,100,50.0,1x25,2812.62,24.06,23.08
Enexis B.V.,ENEXIS,Hooftlanden,4251BE,4251BE,WERKENDAM,26,96.15,100,84.62,3x25,4071.46,39.18,53.85
Enexis B.V.,ENEXIS,Amerscamp,4251BG,4251BG,WERKENDAM,12,100.0,100,75.0,3x25,2481.17,27.75,66.67
Enexis B.V.,ENEXIS,Molenplein,4251BH,4251BH,WERKENDAM,13,100.0,100,38.46,1x25,3539.54,47.46,53.85
Enexis B.V.,ENEXIS,Beukenkampstraat,4251BJ,4251BJ,WERKENDAM,23,86.96,100,52.17,3x25,3756.7,38.96,65.22
